#name	name2
NM_032291	SGIP1
NM_015269	ZCCHC11
NM_007324	ZFYVE9
NM_004799	ZFYVE9
NM_032449	CC2D1B
NM_001009881	ZCCHC11
NM_001004339	ZYG11A
NM_033300	LRP8
NM_016126	HSPB11
NM_004631	LRP8
NM_018087	NDC1
NM_001168551	NDC1
NM_017522	LRP8
NM_001018054	LRP8
NR_033142	NDC1
NM_147193	GLIS1
NM_001031672	CYB5RL
NM_147161	ACOT11
NM_015547	ACOT11
NR_037640	MROH7-TTC4
NR_037639	MROH7-TTC4
NM_018070	SSBP3
NM_001009955	SSBP3
NM_145716	SSBP3
NR_037641	MROH7-TTC4
NM_006252	PRKAA2
NM_001004303	C1orf168
NM_003713	PPAP2B
NM_001278544	C8B
NM_001278543	C8B
NM_000066	C8B
NR_104364	DAB1-AS1
NR_104363	DAB1-AS1
NR_104365	DAB1-AS1
NR_104362	DAB1-AS1
NR_110626	LINC01358
NM_145243	OMA1
NM_001278224	FGGY
NM_001244714	FGGY
NM_015888	HOOK1
NR_110628	LOC101926964
NM_181712	KANK4
NM_176877	INADL
NM_032852	ATG4C
NM_001272001	DOCK7
NM_178221	ATG4C
NR_038252	LINC00466
NM_033407	DOCK7
NM_001272000	DOCK7
NM_001271999	DOCK7
NM_005012	ROR1
NM_001172819	PGM1
NM_001172818	PGM1
NM_002633	PGM1
NM_001083592	ROR1
NM_001256864	DNAJC6
NM_018211	RAVER2
NM_013410	AK4
NM_014787	DNAJC6
NM_203464	AK4
NM_002227	JAK1
NM_001256865	DNAJC6
NM_001005353	AK4
NM_001297441	PDE4B
NM_002600	PDE4B
NM_001037341	PDE4B
NM_001037340	PDE4B
NM_001297440	PDE4B
NM_207014	WDR78
NM_024763	WDR78
NM_015139	SLC35D1
NM_015640	SERBP1
NM_152665	TCTEX1D1
NM_001018068	SERBP1
NM_144701	IL23R
NM_001018067	SERBP1
NM_001018069	SERBP1
NM_024911	WLS
NM_001114120	DEPDC1
NM_017779	DEPDC1
NM_001193334	WLS
NR_040077	GNG12-AS1
NM_018841	GNG12
NM_001002292	WLS
NR_023916	PIN1P1
NM_030816	ANKRD13C
NM_017768	LRRC40
NM_198717	PTGER3
NR_046217	ZRANB2-AS2
NM_198714	PTGER3
NM_198718	PTGER3
NM_198716	PTGER3
NM_001126044	PTGER3
NR_028294	PTGER3
NR_028293	PTGER3
NR_028292	PTGER3
NR_110676	LINC01360
NM_001112808	FPGT-TNNI3K
NM_001199327	FPGT-TNNI3K
NM_001105659	LRRIQ3
NM_001002912	ERICH3
NM_015978	TNNI3K
NM_002440	MSH4
NM_152697	SLC44A5
NM_001130058	SLC44A5
NM_030965	ST6GALNAC5
NM_001172309	NEXN
NM_174858	AK5
NM_012093	AK5
NM_015534	ZZZ3
NM_144573	NEXN
NM_017655	GIPC2
NM_198549	FAM73A
NM_001270384	FAM73A
NR_027310	MGC27382
NM_022159	ELTD1
NR_125940	LOC101927412
NR_125941	LOC101927412
NM_001297704	LPHN2
NM_001297705	LPHN2
NM_012302	LPHN2
NM_001297706	LPHN2
NM_001134664	SAMD13
NM_001134663	SAMD13
NR_049805	MIR548AP
NM_024686	TTLL7
NM_002731	PRKACB
NM_001242858	PRKACB
NM_001242857	PRKACB
NM_001242862	PRKACB
NM_001242860	PRKACB
NR_119374	LOC101927560
NM_001010971	SAMD13
NR_119375	LOC101927587
NM_182948	PRKACB
NM_001242859	PRKACB
NM_001242861	PRKACB
NM_198077	C1orf52
NM_012137	DDAH1
NR_125761	LINC01461
NM_145172	WDR63
NM_012152	LPAR3
NM_153259	MCOLN2
NR_024113	C1orf52
NM_001288563	WDR63
NM_006536	CLCA2
NM_152890	COL24A1
NM_001134492	HS2ST1
NM_012262	HS2ST1
NM_001290053	LOC101927844
NM_001134476	LRRC8B
NM_015350	LRRC8B
NM_006256	PKN2
NM_052941	GBP4
NM_002053	GBP1
NM_018103	LRRC8D
NM_001134479	LRRC8D
NM_001017975	HFM1
NM_005665	EVI5
NM_024813	RPAP2
NM_001164473	FNBP1L
NM_017737	FNBP1L
NM_001164393	MTF2
NM_001164392	MTF2
NM_001164391	MTF2
NM_007358	MTF2
NM_003567	BCAR3
NM_206886	CCDC18
NM_001261409	BCAR3
NM_001261408	BCAR3
NM_001024948	FNBP1L
NM_001258342	SLC44A3
NM_001258341	SLC44A3
NM_001258343	SLC44A3
NM_152369	SLC44A3
NM_001114106	SLC44A3
NM_002858	ABCD3
NM_000350	ABCA4
NM_001122674	ABCD3
NR_104131	LINC01057
NM_001258340	SLC44A3
NM_001301079	SLC44A3
NM_001199691	TMEM56-RWDD3
NR_033966	FLJ31662
NR_125948	LOC101928118
NR_125949	LOC101928118
NM_001300988	PTBP2
NM_001300985	PTBP2
NR_110693	LOC101928241
NM_001300989	PTBP2
NM_001300986	PTBP2
NM_001300987	PTBP2
NM_001300990	PTBP2
NM_021190	PTBP2
NR_125356	PTBP2
NR_125357	PTBP2
NM_000110	DPYD
NM_001160301	DPYD
NR_046590	DPYD-AS1
NM_015976	SNX7
NM_152238	SNX7
NR_033940	LOC100129620
NR_033716	SNX7
NR_046088	LOC729987
NM_017734	PALMD
NM_033055	HIAT1
NM_001166252	LPPR4
NM_014839	LPPR4
NM_001078	VCAM1
NM_033312	CDC14A
NM_033313	CDC14A
NM_003672	CDC14A
NM_080682	VCAM1
NM_001199834	VCAM1
NM_058170	OLFM3
NM_001288823	OLFM3
NR_110210	OLFM3
NR_110211	OLFM3
NM_001854	COL11A1
NM_080630	COL11A1
NM_001190709	COL11A1
NM_080629	COL11A1
NM_017619	RNPC3
NM_001008221	AMY1A
NM_004038	AMY1A
NM_001008218	AMY1B
NM_001008219	AMY1C
NM_001079874	VAV3
NM_006113	VAV3
NR_046653	VAV3-AS1
NM_001265613	MYBPHL
NM_014969	WDR47
NM_001142550	WDR47
NM_013296	GPSM2
NM_020775	KIAA1324
NM_001267048	KIAA1324
NM_007269	STXBP3
NM_001284352	KIAA1324
NM_001142551	WDR47
NM_001010985	MYBPHL
NM_000561	GSTM1
NM_022768	RBM15
NM_004978	KCNC4
NM_001201545	RBM15
NM_146421	GSTM1
NR_036437	KCNC4
NM_001039574	KCNC4
NM_178454	DRAM2
NM_001302680	TMIGD3
NM_001081976	TMIGD3
NM_017744	ST7L
NM_138728	ST7L
NM_172198	KCND3
NM_138729	ST7L
NM_004980	KCND3
NM_018704	CTTNBP2NL
NM_138727	ST7L
NM_014813	LRIG2
NM_152900	MAGI3
NM_001142782	MAGI3
NR_103746	LINC01356
NM_015906	TRIM33
NM_033020	TRIM33
NM_198459	DENND2C
NM_205848	SYT6
NM_001256404	DENND2C
NR_037864	AP4B1-AS1
NM_001010922	BCL2L15
NM_001270805	SYT6
NR_125965	AP4B1-AS1
NM_003176	SYCP1
NM_005725	TSPAN2
NM_002506	NGF
NM_001232	CASQ2
NM_001282541	SYCP1
NM_001282542	SYCP1
NR_104211	SYCP1
NM_001767	CD2
NM_001542	IGSF3
NM_018420	SLC22A15
NM_001007237	IGSF3
NM_000701	ATP1A1
NM_004258	CD101
NM_001253849	VTCN1
NM_001256106	CD101
NM_006699	MAN1A2
NM_024626	VTCN1
NM_001256111	CD101
NM_001256109	CD101
NR_045604	VTCN1
NR_045603	VTCN1
NM_001253850	VTCN1
NR_110786	LOC101929099
NM_206996	SPAG17
NM_015836	WARS2
NM_201263	WARS2
NM_001005783	HAO2
NM_016527	HAO2
NR_125975	LOC101929147
NM_001100910	FAM72B
NR_120535	SRGAP2D
NR_104189	SRGAP2-AS1
NR_109754	LINC00623
NR_024511	LINC00623
NR_024584	LINC00623
NR_024510	LINC00623
NR_111951	LINC00869
NR_111952	LINC00869
NR_111953	LINC00869
NM_001195260	PDE4DIP
NM_203458	NOTCH2NL
NM_001198834	PDE4DIP
NM_001195261	PDE4DIP
NM_022359	PDE4DIP
NM_014455	RNF115
NM_001198832	PDE4DIP
NM_014644	PDE4DIP
NM_004892	SEC22B
NM_153713	LIX1L
NR_104217	NBPF25P
NM_001002812	PDE4DIP
NM_001002810	PDE4DIP
NM_001278141	NBPF12
NM_001144829	FMO5
NM_001144830	FMO5
NM_001461	FMO5
NR_104217	NBPF25P
NR_046188	NBPF11
NR_120331	LOC101927468
NM_016334	GPR89B
NR_038423	LINC00624
NM_004326	BCL9
NM_001101663	NBPF11
NM_183372	NBPF11
NR_110864	NBPF11
NR_111934	FAM231D
NM_001135789	PPIAL4C
NM_001143883	PPIAL4B
NR_111933	LOC388692
NM_207042	ENSA
NM_025150	TARS2
NM_207044	ENSA
NM_004436	ENSA
NM_007259	VPS45
NM_015203	RPRD2
NM_001297673	RPRD2
NM_004079	CTSS
NM_001279355	VPS45
NM_001199739	CTSS
NM_001271895	TARS2
NM_207168	ENSA
NM_207043	ENSA
NM_001297674	RPRD2
NM_001271896	TARS2
NR_103998	VPS45
NM_001279354	VPS45
NR_073514	TARS2
NR_073513	TARS2
NM_001279353	VPS45
NM_020127	TUFT1
NM_020832	ZNF687
NM_001194938	POGZ
NM_030918	SNX27
NM_001126337	TUFT1
NM_001301317	TUFT1
NM_145796	POGZ
NM_001001523	RORC
NM_005060	RORC
NM_015100	POGZ
NM_001194937	POGZ
NM_207171	POGZ
NR_103778	FLG-AS1
NM_015607	CHTOP
NM_001159484	NUP210L
NM_020699	GATAD2B
NM_001206612	CHTOP
NM_207308	NUP210L
NM_001244664	CHTOP
NM_020524	PBXIP1
NM_002249	KCNN3
NM_001204087	KCNN3
NM_000565	IL6R
NM_001206866	IL6R
NM_004952	EFNA3
NM_181359	IL6R
NM_170782	KCNN3
NM_001282624	LMNA
NM_001282625	LMNA
NM_005572	LMNA
NR_046292	MSTO1
NR_046295	MSTO1
NR_046294	MSTO1
NM_018116	MSTO1
NR_024117	MSTO2P
NM_170708	LMNA
NM_170707	LMNA
NM_001256533	MSTO1
NM_001282626	LMNA
NR_046293	MSTO1
NM_001256532	MSTO1
NM_018489	ASH1L
NM_001257374	LMNA
NM_152280	SYT11
NM_178229	IQGAP3
NM_144702	LRRC71
NM_005973	PRCC
NM_031282	FCRL4
NM_005894	CD5L
NM_005531	IFI16
NM_001206567	IFI16
NM_003126	SPTA1
NM_004371	COPA
NM_002241	KCNJ10
NM_001135050	IGSF9
NM_020789	IGSF9
NM_001098398	COPA
NM_001231	CASQ1
NM_001284217	FCRL6
NM_001004310	FCRL6
NM_016382	CD244
NM_001166663	CD244
NM_001166664	CD244
NM_012394	PFDN2
NM_014697	NOS1AP
NM_001164757	NOS1AP
NM_007348	ATF6
NM_031423	NUF2
NM_001254748	RGS5
NM_145697	NUF2
NM_006182	DDR2
NM_001014796	DDR2
NM_001256570	RXRG
NM_006917	RXRG
NM_001174069	LMX1A
NR_026744	LOC400794
NR_033824	RXRG
NM_177398	LMX1A
NR_002925	FMO9P
NM_012474	UCK2
NM_001017961	FAM78B
NM_001286377	MAEL
NM_032858	MAEL
NM_002697	POU2F1
NM_001198783	POU2F1
NM_001286378	MAEL
NM_001198786	POU2F1
NM_052862	RCSD1
NR_037163	POU2F1
NM_018442	DCAF6
NR_026550	MPC2
NM_001143674	MPC2
NM_152902	TIPRL
NM_001198956	DCAF6
NM_001937	DPT
NM_001198957	DCAF6
NM_015415	MPC2
NM_001017977	DCAF6
NM_003666	BLZF1
NM_013330	NME7
NM_001677	ATP1B1
NM_197972	NME7
NR_104229	NME7
NR_104091	LINC00970
NM_022716	PRRX1
NM_014970	KIFAP3
NM_001204517	KIFAP3
NM_001204516	KIFAP3
NM_006902	PRRX1
NM_001204514	KIFAP3
NM_001136107	METTL11B
NM_002022	FMO4
NM_003762	VAMP4
NM_001185127	VAMP4
NR_033704	VAMP4
NM_001301347	FMO2
NM_001460	FMO2
NR_125960	LOC101928673
NM_178527	SLC9C2
NM_018122	DARS2
NR_037845	LOC100506023
NM_001300850	RC3H1
NM_001300852	RC3H1
NM_172071	RC3H1
NM_001300851	RC3H1
NM_001243765	RABGAP1L
NM_014412	CACYBP
NM_014857	RABGAP1L
NM_001035230	RABGAP1L
NM_001243763	RABGAP1L
NM_001007214	CACYBP
NM_003285	TNR
NM_020318	PAPPA2
NM_021936	PAPPA2
NM_004319	ASTN1
NM_207108	ASTN1
NM_001286164	ASTN1
NR_037167	LOC730102
NM_007314	ABL2
NM_014864	FAM20B
NM_152663	RALGPS2
NM_001168238	ABL2
NM_001168237	ABL2
NM_001168236	ABL2
NM_001136001	ABL2
NM_004841	RASAL2
NM_001286247	RALGPS2
NM_173533	TDRD5
NM_001199085	TDRD5
NM_144696	AXDND1
NM_033343	LHX4
NM_001199260	TOR1AIP2
NM_001199091	TDRD5
NM_001199089	TDRD5
NM_145034	TOR1AIP2
NM_022347	TOR1AIP2
NM_014810	CEP350
NR_073544	AXDND1
NM_001531	MR1
NM_001194999	MR1
NM_001195000	MR1
NM_004736	XPR1
NM_001195035	MR1
NM_001135669	XPR1
NM_000721	CACNA1E
NM_001205294	CACNA1E
NM_001205293	CACNA1E
NR_104175	LINC01344
NM_002293	LAMC1
NM_001357	DHX9
NM_015039	NMNAT2
