#name	name2
NM_032291	SGIP1
NM_183008	UBXN11
NM_001114759	ZNF683
NM_024887	DHDDS
NM_005517	HMGN2
NR_033926	ACTG1P20
NM_207397	CD164L2
NM_001042729	FGR
NM_001143914	FAM76A
NM_001143913	FAM76A
NM_001164722	PTAFR
NM_000952	PTAFR
NM_178191	ATPIF1
NM_017638	MED18
NM_023923	PHACTR4
NM_024482	GMEB1
NM_001024732	MECR
NM_014654	SDC3
NM_001282572	ZCCHC17
NR_034112	LINC01225
NM_001199038	SERINC2
NM_018565	SERINC2
NR_027085	LINC01226
NM_018056	TMEM39B
NM_001160042	IQCC
NM_175852	TXLNA
NM_032648	FAM167B
NR_026850	MTMR9LP
NM_001135255	RBBP4
NM_005610	RBBP4
NM_001625	AK2
NM_001005752	GJB3
NM_138428	SMIM12
NM_014284	NCDN
NM_001199779	PSMB2
NM_001199780	PSMB2
NM_001190481	CLSPN
NM_152374	C1orf216
NM_022111	CLSPN
NM_012199	AGO1
NR_073091	MEAF6
NM_001099439	EPHA10
NM_173641	EPHA10
NM_002699	POU3F1
NR_037635	GJA9-MYCBP
NR_003929	PPIEL
NM_001282397	HPCAL4
NM_001136493	MFSD2A
NM_032793	MFSD2A
NM_006367	CAP1
NM_001142604	PPT1
NM_152373	ZNF684
NM_014747	RIMS3
NM_001142590	NFYC
NM_133467	CITED4
NR_037868	SLFNL1-AS1
NM_001956	EDN2
NM_001287507	PPCS
NM_001080850	CCDC30
NM_004559	YBX1
NM_006824	EBNA1BP2
NM_201542	MED8
NM_001005417	B4GALT2
NM_024587	TMEM53
NM_015506	MMACHC
NR_033296	CCDC163P
NR_026768	RPS15AP10
NM_005897	IPP
NM_001097611	KNCN
NM_147192	DMBX1
NM_145279	MOB3C
NM_014774	EFCAB14
NM_001256418	ATPAF1
NM_000778	CYP4A11
NM_001010969	CYP4A22
NM_001282939	STIL
NM_032110	DMRTA2
NM_014372	RNF11
NM_001159969	EPS15
NM_001190818	ORC1
NM_001199082	PODN
NM_001199081	PODN
NM_006671	SLC1A7
NM_001199080	PODN
NM_001287595	SLC1A7
NM_001287596	SLC1A7
NM_001276393	LDLRAD1
NM_016491	MRPL37
NR_103541	SSBP3-AS1
NM_176782	FAM151A
NR_026782	MROH7
NM_004623	TTC4
NM_017904	TTC22
NM_001114108	TTC22
NM_152268	PARS2
NM_182532	TMEM61
NM_000562	C8A
NM_019079	L1TD1
NM_001164835	L1TD1
NM_001037339	PDE4B
NM_000329	RPE65
NM_004768	SRSF11
NM_001190987	SRSF11
NR_027404	HHLA3
NM_001031693	HHLA3
NM_005455	ZRANB2
NM_001130043	CRYZ
NM_001162916	TYW3
NR_026546	ASB17
NM_201626	USP33
NM_015017	USP33
NR_103535	NEXN-AS1
NR_027379	LINC01555
NM_014021	SSX2IP
NM_032184	SYDE2
NM_017953	ZNHIT6
NM_020729	ODF2L
NM_001184765	ODF2L
NM_001007022	ODF2L
NM_001206653	SH3GLB1
NM_006769	LMO4
NR_038324	LINC01364
NM_019610	RBMXL1
NM_052942	GBP5
NM_001134486	GBP5
NM_198460	GBP6
NM_001134419	CDC7
NM_000969	RPL5
NR_034089	LOC100131564
NR_034091	LOC100129046
NM_014597	DNTTIP2
NM_004815	ARHGAP29
NM_001178096	F3
NM_000645	AGL
NM_001130841	RTCA
NM_020978	AMY2B
NR_024438	ACTG1P4
NR_033990	LOC100129138
NM_013386	SLC25A24
NM_020141	TMEM167B
NR_034072	SARS
NM_020703	AMIGO1
NM_182580	CYB561D1
NM_031936	GPR61
NM_001134404	CYB561D1
NM_001142368	GSTM2
NM_001257360	AMPD2
NM_005272	GNAT2
NM_203404	AMPD2
NM_000849	GSTM3
NM_000757	CSF1
NM_001242673	AHCYL1
NM_032414	PROK1
NR_108042	LOC440602
NR_109846	KCNA3
NM_001040033	CD53
NR_003928	CHIAP2
NM_181643	PIFO
NM_002557	OVGP1
NM_024102	WDR77
NM_001688	ATP5F1
NR_034126	LINC01160
NM_006135	CAPZA1
NR_103743	SLC16A1-AS1
NR_038846	LOC643441
NM_005872	BCAS2
NM_001172412	VANGL1
NM_152367	MAB21L3
NM_001144822	CD58
NM_020440	PTGFRN
NM_017709	FAM46C
NM_017686	GDAP2
NM_000198	HSD3B2
NM_000862	HSD3B1
NM_001080470	ZNF697
NR_033781	HSD3BP4
NR_036540	LINC00622
NM_021794	ADAM30
NM_001047980	NBPF7
NM_001159353	REG4
NM_032044	REG4
NR_045213	FCGR1B
NM_001017986	FCGR1B
NR_046228	ANKRD20A12P
NM_001123068	PPIAL4G
NM_001135789	PPIAL4C
NR_003242	PFN1P2
NM_001002811	PDE4DIP
NM_006099	PIAS3
NR_073493	PEX11B
NR_104034	GNRHR2
NM_005105	RBM8A
NM_001101663	NBPF11
NM_183372	NBPF11
NR_024442	LOC728989
NR_103466	NBPF13P
NR_002305	PDIA3P1
NM_005399	PRKAB2
NR_103870	PRKAB2
NM_001135789	PPIAL4C
NR_104086	RNVU1-19
NM_001144032	PPIAL4E
NM_015383	NBPF14
NM_173638	NBPF15
NM_001170755	NBPF15
NM_001144032	PPIAL4E
NR_104086	RNVU1-19
NR_024510	LINC00623
NM_001161334	HIST2H2BF
NM_004425	ECM1
NM_001199829	HORMAD1
NM_001286035	ARNT
NM_001204856	SCNM1
NM_001198774	PI4KB
NM_020770	CGN
NM_001172648	CELF3
NM_001134939	OAZ3
NM_006862	TDRKH
NM_007185	CELF3
NM_001004432	LINGO4
NM_053055	THEM4
NM_005620	S100A11
NR_103561	NBPF18P
NM_002016	FLG
NM_001009931	HRNR
NM_001014342	FLG2
NR_103779	FLG-AS1
NM_178353	LCE1E
NM_178351	LCE1C
NM_001128600	LCE6A
NM_001014450	SPRR2F
NR_003062	SPRR2C
NM_000906	NPR1
NM_023015	INTS3
NM_020452	ATP8B2
NM_001143687	DCST1
NM_002455	MTX1
NR_104150	TRIM46
NM_001287588	SLC50A1
NM_001122837	SLC50A1
NM_001198900	YY1AP1
NM_001199849	DAP3
NM_181885	RXFP4
NR_046115	RHBG
NM_021948	BCAN
NM_182679	GPATCH4
NM_001878	CRABP2
NM_001080471	PEAR1
NM_002529	NTRK1
NM_052939	FCRL3
NM_030764	FCRL2
NM_001766	CD1D
NR_033946	LOC646268
NM_001763	CD1A
NM_001004476	OR10K2
NM_001005278	OR6N2
NM_001005185	OR6N1
NM_001277223	TAGLN2
NM_000702	ATP1A2
NM_005598	NHLH1
NM_001184879	CD84
NM_001184716	SLAMF6
NM_001184714	SLAMF6
NM_001184882	CD84
NM_001184881	CD84
NM_003874	CD84
NM_001778	CD48
NM_001282593	SLAMF7
NM_005099	ADAMTS4
NM_016406	UFC1
NM_001102566	PCP4L1
NM_001278172	SDHC
NR_103459	SDHC
NM_001013625	CFAP126
NM_001127596	FCGR3A
NR_047648	FCGR2C
NM_015441	OLFML2B
NM_003115	UAP1
NM_001254749	RGS5
NM_000696	ALDH9A1
NM_004528	MGST3
NR_045818	TMCO1
NM_017542	POGK
NM_199351	ILDR2
NM_001267613	GPR161
NM_001267614	GPR161
NM_021179	CCDC181
NM_000130	F5
NR_002601	FMO6P
NM_001282693	FMO1
NM_000261	MYOC
NM_014955	METTL13
NR_038397	DNM3OS
NM_002642	PIGC
NR_027982	RASAL2-AS1
NM_001170722	TEX35
NM_001267578	TOR1AIP1
NM_020950	KIAA1614
NM_001009992	ZNF648
NM_005562	LAMC2
NM_018891	LAMC2
NM_005717	ARPC5
NM_002923	RGS2
NM_000186	CFH
NM_018136	ASPM
NM_001267798	PTPRC
NM_001142569	C1orf106
NM_018265	C1orf106
NM_001252103	KIF21B
NM_001252102	KIF21B
NM_001252100	KIF21B
NR_109921	TMEM9
NM_012396	PHLDA3
NM_020216	RNPEP
NM_004767	GPR37L1
NM_001136504	SYT2
NR_038135	MGAT4EP
NM_021633	KLHL12
NM_016243	CYB5R1
NR_036557	LOC100506747
NM_004997	MYBPH
NR_034150	LINC01136
NR_034151	LINC01136
NM_001282878	LAX1
NM_001174108	ZBED6
NM_002646	PIK3C2B
NM_001204172	MDM4
NM_001278517	MDM4
NM_002393	MDM4
NM_001278519	MDM4
NM_001278516	MDM4
NM_001193273	RBBP5
NM_005057	RBBP5
NM_203376	TMEM81
NM_005076	CNTN2
NM_014858	TMCC2
NM_030952	NUAK2
NR_103783	BLACAT1
NM_001973	ELK4
NR_027086	LOC284578
NM_033102	SLC45A3
NM_021795	ELK4
NM_181644	MFSD4
NM_001135664	RAB29
NM_001135662	RAB29
NM_022731	NUCKS1
NM_173854	SLC41A1
NM_134325	SLC26A9
NM_152491	PM20D1
NR_046097	LOC284581
NM_014002	IKBKE
NM_001193321	IKBKE
NM_018566	YOD1
NM_002644	PIGR
NM_006212	PFKFB2
NM_001104548	MIR205HG
NM_001127641	LAMB3
NM_025228	TRAF3IP3
NM_014388	DIEXF
NM_001033910	TRAF5
NM_001204183	NEK2
NM_001204182	NEK2
NM_153606	FAM71A
NM_001206484	ATF3
NM_001146170	TATDN3
NM_001146171	TATDN3
NM_001042552	TATDN3
NM_001146169	TATDN3
NM_014053	FLVCR1
NM_144567	ANGEL2
NR_024236	C1orf140
NM_001201536	TAF1A
NM_022831	AIDA
NM_152610	CCDC185
NM_001748	CAPN2
NM_025160	WDR26
NM_152608	SDE2
NM_031944	MIXL1
NM_001282402	MIXL1
NM_001618	PARP1
NM_023007	JMJD4
NR_024485	LOC100130093
NM_001010867	IBA57
NM_006615	CAPN9
NM_016452	CAPN9
NM_000029	AGT
NM_032800	C1orf198
NM_022051	EGLN1
NM_001164552	DISC1
NM_032435	KIAA1804
NR_039818	MIR4671
NM_005646	TARBP1
NR_038426	LINC01354
NM_182972	IRF2BP2
NR_033927	LINC00184
NM_019891	ERO1LB
NR_015407	LINC01139
NM_001821	CHML
NR_029401	LINC01347
NM_031844	HNRNPU
NR_040002	LOC255654
NM_020394	ZNF695
NM_024804	ZNF669
NM_207401	C1orf229
NM_001142572	ZNF669
NM_015431	TRIM58
NM_001004692	OR2T12
NM_001005495	OR2T3
NM_001005471	OR2T6
NM_001004696	OR2T4
NM_001004136	OR2T2
NM_001004694	OR2T29
NM_001004697	OR2T5
NM_001001821	OR2T34
NM_001001824	OR2T27
NM_030797	FAM49A
NM_001025108	AFF3
NM_018557	LRP1B
NM_024080	TRPM8
NM_020864	NYAP2
NM_016441	CRIM1
NM_020458	TTC7A
NM_001288951	TTC7A
NM_001288953	TTC7A
NM_018084	CCDC88A
NR_033872	PCBP1-AS1
NM_133478	SLC4A5
NM_032827	ATOH8
NM_015348	TMEM131
NM_000877	IL1R1
NM_001288706	IL1R1
NM_001099289	SH3RF3
NM_005270	GLI2
NM_001077637	WTH3DI
NM_001199241	KYNU
NM_018328	MBD5
NM_052917	GALNT13
NM_012290	TLK1
NM_133646	ZAK
NM_016653	ZAK
NM_173651	FSIP2
NR_110267	LOC101927619
NR_104261	MDH1B
NM_001042599	ERBB4
NM_005235	ERBB4
NM_032504	UNC80
NM_021141	XRCC5
NM_016260	IKZF2
NM_182587	UNC80
NM_015488	PNKD
NM_003590	CUL3
NM_014521	SH3BP4
NM_001037131	AGAP1
NR_033880	LINC01115
NR_104224	SH3YL1
NM_016030	TRAPPC12
NM_003310	TSSC1
NM_014746	RNF144A
NM_145693	LPIN1
NR_103814	LINC00276
NM_001130009	GEN1
NM_182625	GEN1
NM_001282428	KCNS3
NM_020779	WDR35
NM_000384	APOB
NM_001199803	CENPO
NM_014971	EFR3B
NM_033505	EPT1
NM_020134	DPYSL5
NM_001287489	OTOF
NM_001170585	PLB1
NM_004304	ALK
NM_001177970	VIT
NM_002759	EIF2AK2
NM_001177969	VIT
NM_001177971	VIT
NM_005633	SOS1
NM_020744	MTA3
NM_001145076	EML4
NM_001042386	PREPL
NM_133259	LRPPRC
NM_001171606	PREPL
NM_016115	ASB3
NM_014614	PSME4
NM_001122964	SMEK2
NM_144709	PUS10
NR_033980	LINC01185
NR_038844	LOC644838
NM_001244710	GFPT1
NM_032208	ANTXR1
NM_002056	GFPT1
NM_014911	AAK1
NM_017880	C2orf42
NM_003096	SNRPG
NM_001130977	DYSF
NM_020459	PAIP2B
NM_001058	TACR1
NM_000189	HK2
NR_027749	TTC31
NR_110281	LOC101927884
NR_110288	LOC101927967
NM_001164732	REEP1
NM_006839	IMMT
NR_024204	LINC00152
NR_037597	LOC442028
NM_032788	ZNF514
NM_001163523	ITPRIPL1
NM_178495	ITPRIPL1
NM_020151	STARD7
NM_001122646	FAM178B
NM_025190	ANKRD36B
NM_001164315	ANKRD36
NR_038386	LINC01125
NM_144992	VWA3B
NM_198461	LONRF2
NM_001142352	ST6GAL2
NM_001142351	ST6GAL2
NM_022336	EDAR
NM_001193483	LIMS1
NM_022662	ANAPC1
NM_014553	TFCP2L1
NM_024545	SAP130
NR_027020	ANKRD30BL
NR_027019	ANKRD30BL
NM_001286569	ZRANB3
NM_001001664	SPOPL
NM_018460	ARHGAP15
NM_014795	ZEB2
NM_001284235	GTDC1
NM_001190881	ORC4
NM_001190879	ORC4
NM_181741	ORC4
NM_001190882	ORC4
NM_181742	ORC4
NM_002552	ORC4
NM_000726	CACNB4
NM_001177663	RIF1
NM_001164507	NEB
NM_001271208	NEB
NM_001164508	NEB
NM_018151	RIF1
NR_110249	LOC101929378
NM_001135098	UPP2
NM_001145909	TANC1
NM_002349	LY75
NR_110260	LOC101929680
NM_020675	SPC25
NM_001281476	FASTKD1
NM_003142	SSB
NR_104020	FASTKD1
NM_001083615	MYO3B
NR_045682	MYO3B
NM_024770	METTL8
NM_030650	KIAA1715
NM_001077197	PDE11A
NM_178123	SESTD1
NM_133432	TTN
NM_133378	TTN
NM_003319	TTN
NM_001267550	TTN
NM_001256850	TTN
NM_133437	TTN
NR_104325	SCHLAP1
NR_104321	SCHLAP1
NM_018981	DNAJC10
NM_006226	PLCL1
NM_001039693	TYW5
NR_109907	TYW5
NM_001202516	CFLAR
NM_001202517	CFLAR
NM_003879	CFLAR
NM_001202519	CFLAR
NR_001557	AOX2P
NM_015049	TRAK2
NM_020919	ALS2
NM_001135745	ALS2
NM_024744	CARF
NM_001288622	ICA1L
NM_005759	ABI2
NM_001282925	ABI2
NM_134442	CREB1
NM_003709	KLF7
NM_004379	CREB1
NR_073108	KLF7
NM_001080475	PLEKHM3
NM_015040	PIKFYVE
NM_001039538	MAP2
NR_110292	LOC101928103
NM_018441	PECR
NR_037195	LINC00607
NM_022648	TNS1
NR_026597	DIRC3
NM_181461	PAX3
NM_020830	WDFY1
NM_001039569	AP1S3
NM_001167608	RHBDD1
NM_000092	COL4A4
NM_138402	SP140L
NM_001080391	SP100
NM_006056	NMUR1
NM_001103146	GIGYF2
NM_001103148	GIGYF2
NM_001103147	GIGYF2
NM_001257281	DIS3L2
NM_001270584	IQCA1
NM_001281474	MLPH
NM_001042467	MLPH
NR_104019	MLPH
NM_004544	NDUFA10
NM_001282409	PPP1R7
NM_001282771	ANKMY1
NM_001080437	SNED1
NM_001282413	PPP1R7
NM_004321	KIF1A
NM_001085437	C2orf54
NM_001011	RPS7
NM_018436	ALLC
NR_026833	LOC400940
NR_026832	LINC01105
NR_110257	LOC101929567
NM_003183	ADAM17
NM_001034	RRM2
NM_001287190	ODC1
NM_001287188	ODC1
NM_198256	E2F6
NR_103490	E2F6
NM_014668	GREB1
NR_033875	LINC00954
NM_001008237	TTC32
NM_014713	LAPTM4A
NM_001080473	MFSD2B
NM_181713	UBXN2A
NR_034113	DNAJC27-AS1
NM_000939	POMC
NM_001035256	POMC
NM_145038	DRC1
NM_018158	SLC4A1AP
NM_001127400	YPEL5
NM_001145122	CAPN14
NM_001193515	SLC30A6
NM_001139488	RASGRP3
NM_001042548	FEZ2
NM_001278505	GPATCH11
NR_037880	CEBPZOS
NM_005760	CEBPZ
NM_012413	QPCT
NM_000104	CYP1B1
NM_001031684	SRSF7
NM_001242815	C2orf91
NM_138370	PKDCC
NM_172344	KCNG3
NM_148962	OXER1
NM_016932	SIX2
NM_001145051	TMEM247
NM_080653	ATP6V1E2
NM_014171	CRIPT
NM_001171508	MCFD2
NM_139279	MCFD2
NM_001171511	MCFD2
NM_001171510	MCFD2
NM_001171509	MCFD2
NM_001171507	MCFD2
NM_001171506	MCFD2
NM_001003937	TSPYL6
NM_001005369	MTIF2
NM_001282761	CFAP36
NM_033109	PNPT1
NM_022894	PAPOLG
NR_036496	LOC339803
NM_001201543	FAM161A
NM_006577	B3GNT2
NR_036635	DBIL5P2
NR_034023	LOC339807
NM_001002243	AFTPH
NM_015147	CEP68
NM_001128210	SPRED2
NR_046438	MEIS1-AS3
NM_138458	WDR92
NM_001024680	FBXO48
NM_152792	ASPRV1
NR_002185	OR7E91P
NM_144582	TEX261
NM_001115116	ANKRD53
NM_005791	MPHOSPH10
NM_001965	EGR4
NM_018221	MOB1A
NR_045636	BOLA3-AS1
NM_006302	MOGS
NM_001146158	MOGS
NR_024463	DCTN1-AS1
NM_032603	LOXL3
NM_001009812	LBX2
NM_001271661	SEMA4F
NM_014763	MRPL19
NR_002714	REG1P
NR_003663	FUNDC2P2
NM_017750	RETSAT
NM_001206844	TGOLN2
NM_001206840	TGOLN2
NM_001142269	GGCX
NM_198843	SFTPB
NR_038888	LOC284950
NM_015425	POLR1A
NM_017952	PTCD3
NM_016622	MRPL35
NM_005667	RNF103
NM_004931	CD8B
NM_172101	CD8B
NM_001032392	PLGLB1
NM_001032392	PLGLB1
NM_198274	SMYD1
NR_027714	ACTR3BP2
NM_001286559	TEKT4
NR_003366	ANKRD20A8P
NR_038409	FAM95A
NM_001017396	ZNF2
NR_103734	LINC00342
NM_207328	GPAT2
NM_004804	CIAO1
NM_014014	SNRNP200
NM_015341	NCAPH
NM_001115016	KANSL3
NM_017623	CNNM3
NM_199078	CNNM3
NM_016490	FAM178B
NM_001172667	FAM178B
NR_040097	LOC100506123
NM_005735	ACTR1B
NM_012214	MGAT4A
NM_004854	CHST10
NM_001099693	RPL31
NM_001098577	RPL31
NM_003854	IL1RL2
NM_003855	IL18R1
NM_001011552	SLC9A4
NR_038231	LINC01114
NM_001286537	C2orf49
NM_182588	RGPD4
NM_001193484	LIMS1
NM_004987	LIMS1
NM_001193482	LIMS1
NM_006267	RANBP2
NM_023016	SOWAHC
NR_027467	LIMS3
NM_033514	LIMS3
NR_027145	LIMS3-LOC440895
NR_046111	LINC01123
NR_046110	LINC01123
NR_046111	LINC01123
NR_046110	LINC01123
NR_027244	LINC01106
NR_027145	LIMS3-LOC440895
NM_033514	LIMS3
NR_027467	LIMS3
NM_138625	BCL2L11
NM_198581	ZC3H6
NM_001278568	IL36G
NR_015377	PAX8-AS1
NR_047570	PAX8-AS1
