#name	name2
NM_013943	CLIC4
NM_001135254	PAX7
NM_001177520	ALPL
NM_001127501	ALPL
NM_001198802	EIF4G3
NM_005529	HSPG2
NM_001013693	LDLRAD2
NM_033631	LUZP1
NM_001142546	LUZP1
NM_004091	E2F2
NM_003196	TCEA3
NM_173064	IFNLR1
NM_020448	NIPAL3
NM_001010980	NCMAP
NM_020379	MAN1C1
NM_138616	RHCE
NM_001289010	MAN1C1
NM_018202	TMEM57
NM_001282564	TMEM57
NM_002953	RPS6KA1
NM_031286	SH3BGRL3
NM_024674	LIN28A
NM_001029882	AHDC1
NM_006990	WASF2
NM_001048183	PHACTR4
NR_036473	SNHG3
NM_001048199	RCC1
NM_005704	PTPRU
NM_005626	SRSF4
NM_080391	PTP4A2
NM_030786	SYNC
NM_012316	KPNA6
NM_001040441	ZBTB8A
NM_153341	RNF19B
NM_145238	ZSCAN20
NR_038372	CSMD2-AS1
NM_001080418	DLGAP3
NM_024874	KIAA0319L
NM_178548	TFAP2E
NM_001282546	STK40
NM_005540	INPP5B
NM_022157	RRAGC
NM_001720	BMP8B
NM_181809	BMP8A
NR_024567	NFYC-AS1
NM_001198851	FOXJ3
NM_024503	HIVEP3
NM_001127714	HIVEP3
NM_173642	RIMKLA
NM_152498	CFAP57
NM_001253357	TIE1
NM_015284	SZT2
NR_033827	KDM4A-AS1
NM_174967	ST3GAL3
NM_020883	ZSWIM5
NM_015112	MAST2
NM_003684	MKNK1
NM_178134	CYP4Z1
NM_001136140	CMPK1
NM_001080494	TTC39A
NM_024586	OSBPL9
NM_024646	ZYG11B
NM_007324	ZFYVE9
NM_004799	ZFYVE9
NM_032449	CC2D1B
NM_001004339	ZYG11A
NM_017522	LRP8
NM_001018054	LRP8
NM_001031672	CYB5RL
NM_147161	ACOT11
NM_015547	ACOT11
NR_037639	MROH7-TTC4
NM_001009955	SSBP3
NM_145716	SSBP3
NR_037641	MROH7-TTC4
NM_006252	PRKAA2
NM_015888	HOOK1
NM_181712	KANK4
NM_001272001	DOCK7
NR_038252	LINC00466
NM_005012	ROR1
NM_001083592	ROR1
NM_018211	RAVER2
NM_013410	AK4
NM_002227	JAK1
NM_001005353	AK4
NM_001018068	SERBP1
NM_001018067	SERBP1
NM_001018069	SERBP1
NM_017779	DEPDC1
NR_040077	GNG12-AS1
NM_012093	AK5
NR_027310	MGC27382
NM_012137	DDAH1
NM_012152	LPAR3
NM_152890	COL24A1
NM_001134476	LRRC8B
NM_015350	LRRC8B
NM_018103	LRRC8D
NM_001134479	LRRC8D
NM_001164392	MTF2
NM_002858	ABCD3
NM_001122674	ABCD3
NR_104131	LINC01057
NM_001258340	SLC44A3
NR_033966	FLJ31662
NM_000110	DPYD
NR_046088	LOC729987
NR_110211	OLFM3
NM_017619	RNPC3
NM_020775	KIAA1324
NM_001267048	KIAA1324
NM_001284352	KIAA1324
NM_022768	RBM15
NM_004978	KCNC4
NM_178454	DRAM2
NM_017744	ST7L
NM_004980	KCND3
NM_138727	ST7L
NM_152900	MAGI3
NM_001142782	MAGI3
NR_103746	LINC01356
NM_033020	TRIM33
NM_198459	DENND2C
NM_205848	SYT6
NM_001010922	BCL2L15
NM_002506	NGF
NM_001542	IGSF3
NM_018420	SLC22A15
NM_001007237	IGSF3
NR_104189	SRGAP2-AS1
NM_203458	NOTCH2NL
NM_001198834	PDE4DIP
NM_001198832	PDE4DIP
NM_014644	PDE4DIP
NM_153713	LIX1L
NM_001002812	PDE4DIP
NM_001278141	NBPF12
NM_001461	FMO5
NR_046188	NBPF11
NM_004326	BCL9
NM_001101663	NBPF11
NM_007259	VPS45
NM_015203	RPRD2
NM_001199739	CTSS
NM_001271895	TARS2
NR_073513	TARS2
NM_020127	TUFT1
NM_020832	ZNF687
NM_030918	SNX27
NM_001126337	TUFT1
NM_145796	POGZ
NM_001001523	RORC
NM_020699	GATAD2B
NM_020524	PBXIP1
NM_002249	KCNN3
NM_001204087	KCNN3
NM_000565	IL6R
NM_001206866	IL6R
NM_004952	EFNA3
NM_181359	IL6R
NM_001282625	LMNA
NM_001282626	LMNA
NM_178229	IQGAP3
NM_031282	FCRL4
NM_002241	KCNJ10
NM_001135050	IGSF9
NM_020789	IGSF9
NM_001166664	CD244
NM_014697	NOS1AP
NM_001164757	NOS1AP
NM_001254748	RGS5
NM_001256570	RXRG
NM_006917	RXRG
NM_001174069	LMX1A
NM_177398	LMX1A
NM_012474	UCK2
NM_001017961	FAM78B
NM_002697	POU2F1
NM_001198783	POU2F1
NM_001198786	POU2F1
NM_001198956	DCAF6
NM_003666	BLZF1
NR_104091	LINC00970
NM_001136107	METTL11B
NM_002022	FMO4
NR_037845	LOC100506023
NM_001243765	RABGAP1L
NM_004319	ASTN1
NR_037167	LOC730102
NM_007314	ABL2
NM_001168237	ABL2
NM_001136001	ABL2
NM_001286247	RALGPS2
NM_001199260	TOR1AIP2
NM_145034	TOR1AIP2
NM_022347	TOR1AIP2
NM_001531	MR1
NM_001194999	MR1
NM_001195035	MR1
NM_001205293	CACNA1E
NM_002293	LAMC1
NR_033302	DHX9
NM_052966	FAM129A
NR_033922	LOC440704
NM_006684	CFHR4
NM_000069	CACNA1S
NM_001164586	IGFN1
NM_203459	CAMSAP2
NM_014875	KIF14
NM_020443	NAV1
NM_018085	IPO9
NM_001017403	LGR6
NM_032104	PPP1R12B
NM_032103	PPP1R12B
NM_177402	SYT2
NM_005686	SOX13
NM_015375	DSTYK
NM_199462	DSTYK
NM_000573	CR1
NM_025179	PLXNA2
NM_000651	CR1
NM_006147	IRF6
NM_001206696	IRF6
NM_001199809	INTS7
NM_005401	PTPN14
NM_016121	KCTD3
NM_022746	MARC1
NM_001286126	MARK1
NM_032890	DISP1
NM_001037175	SUSD4
NM_018212	ENAH
NM_022735	ACBD3
NM_003133	SRP9
NM_001008493	ENAH
NM_014826	CDC42BPA
NM_003607	CDC42BPA
NM_020247	ADCK3
NM_002221	ITPKB
NM_001003665	C1orf95
NM_052843	OBSCN
NM_178549	ZNF678
NM_001098623	OBSCN
NM_001271223	OBSCN
NR_037962	RHOU
NM_001004342	TRIM67
NM_004485	GNG4
NM_001098722	GNG4
NM_152490	B3GALNT2
NM_001098721	GNG4
NM_001277155	B3GALNT2
NM_003272	GPR137B
NM_080738	EDARADD
NM_018072	HEATR1
NM_201545	LGALS8
NM_201544	LGALS8
NM_201543	LGALS8
NM_001035	RYR2
NM_000740	CHRM3
NM_020066	FMN2
NR_026587	EFCAB2
NM_001143943	EFCAB2
NM_001126	ADSS
NM_001243740	ZNF124
NM_001139459	CNST
NM_004895	NLRP3
NR_046018	DDX11L1
NR_026820	FAM138F
NR_024540	WASH7P
NR_039983	LOC729737
NR_028327	LOC100133331
NR_028325	LOC100132062
NR_028322	LOC100132287
NM_001005277	OR4F16
NM_001005224	OR4F3
NM_001005221	OR4F29
NR_106781	MIR6723
NM_001005277	OR4F16
NM_001005224	OR4F3
NM_001005221	OR4F29
NR_028327	LOC100133331
NR_033908	LOC100288069
NR_047526	LINC01128
NM_152486	SAMD11
NM_021170	HES4
NM_001142467	HES4
NM_001205252	RNF223
NM_198576	AGRN
NM_003327	TNFRSF4
NM_080605	B3GALT6
NM_016547	SDF4
NM_016176	SDF4
NM_001130045	TTLL10
NM_004421	DVL1
NM_017871	CPSF3L
NM_001130413	SCNN1D
NM_030649	ACAP3
NM_001282583	MXRA8
NR_037668	SCNN1D
NM_001256456	CPSF3L
NM_001145210	ANKRD65
NM_022834	VWA1
NM_001039211	ATAD3C
NM_001146685	TMEM88B
NM_017971	MRPL20
NM_031921	ATAD3B
NM_199121	VWA1
NM_001243535	ANKRD65
NR_002946	MMP23A
NM_001170536	ATAD3A
NM_001114748	TMEM240
NM_080875	MIB2
NM_001170535	ATAD3A
NR_033183	MIB2
NM_001170686	MIB2
NM_018188	ATAD3A
NM_014188	SSU72
NM_006983	MMP23B
NM_001242659	C1orf233
NM_182838	SLC35E2
NR_002946	MMP23A
NM_001199787	SLC35E2
NM_024011	CDK11A
NM_001110781	SLC35E2B
NM_001282539	GNB1
NM_138705	CALML6
NM_000815	GABRD
NR_024489	LOC100129534
NM_007033	RER1
NM_014638	PLCH2
NM_018216	PANK4
NR_037844	LOC115110
NM_001010926	HES5
NM_001195736	FAM213B
NM_033467	MMEL1
NM_080431	ACTRT2
NR_015440	LINC00982
NR_033708	TP73-AS1
NR_033711	TP73-AS1
NM_001204187	TP73
NM_017818	WRAP73
NM_001126240	TP73
NR_033710	TP73-AS1
NM_182752	TPRG1L
NM_014704	CEP104
NR_024455	LINC01134
NR_040065	LINC01346
NM_015557	CHD5
NM_207396	RNF207
NM_207370	GPR153
NM_031475	ESPN
NM_024654	NOL9
NM_153812	PHF13
NM_018198	DNAJC11
NM_001195752	THAP3
NM_007262	PARK7
NM_018948	ERRFI1
NM_001042682	RERE
NM_001270502	CA6
NR_104622	LOC100506022
NM_005026	PIK3CD
NM_022787	NMNAT1
NM_213566	DFFA
NM_003132	SRM
NM_020780	PTCHD2
NM_183413	FBXO44
NM_012168	FBXO2
NM_033182	FBXO44
NM_198545	DRAXIN
NM_183412	FBXO44
NR_104624	LOC101929181
NM_005957	MTHFR
NM_000302	PLOD1
NM_138346	KIAA2013
NM_001066	TNFRSF1B
NM_023013	PRAMEF1
NM_001100631	PRAMEF22
NM_001136561	HNRNPCL2
NM_001100631	PRAMEF22
NM_001045480	PRAMEF16
NM_001099851	PRAMEF17
NM_001024661	PRAMEF14
NM_001099851	PRAMEF17
NM_001024661	PRAMEF14
NM_006474	PDPN
NM_015866	PRDM2
NR_102733	CASP9
NM_024329	EFHD2
NM_024758	AGMAT
NM_001024216	FBLIM1
NM_001024215	FBLIM1
NM_017556	FBLIM1
NM_001013641	TMEM82
NR_024279	FLJ37453
NR_073501	SZRD1
NR_023386	CROCCP3
NR_027504	MST1P2
NR_026752	CROCCP2
NM_001282321	FAM231A
NM_001282321	FAM231A
NM_014675	CROCC
NM_022089	ATP13A2
NM_012387	PADI4
NM_016233	PADI3
NM_001136204	RCC2
NM_018715	RCC2
NM_207421	PADI6
NM_003748	ALDH4A1
NM_001161504	ALDH4A1
NM_170726	ALDH4A1
NM_003689	AKR7A2
NM_016183	MRTO4
NM_001040125	PQLC2
NM_012067	AKR7A3
NR_109848	PQLC2
NM_015047	EMC1
NR_040288	AKR7L
NM_001271427	EMC1
NM_001271429	EMC1
NM_001039500	VWA5B1
NM_024544	MUL1
NM_018584	CAMK2N1
NM_001785	CDA
NM_207334	FAM43B
NM_005216	DDOST
NM_001122819	KIF17
NM_001103161	SH2D5
NM_001287212	KIF17
NM_001103160	SH2D5
NM_001256416	NBPF3
NR_023919	LINC00339
NR_109762	LINC00339
NR_109761	LINC00339
NM_001114101	C1QC
NM_001009999	KDM1A
NM_001143778	ASAP3
NM_002167	ID3
NM_003198	TCEB3
NM_020362	PITHD1
NM_017761	PNRC2
NM_054016	SRSF10
NM_152372	MYOM3
NM_021180	GRHL3
NR_109781	LOC100506985
NM_005839	SRRM1
NM_001031680	RUNX3
NM_004350	RUNX3
NM_001282870	RHD
NM_016124	RHD
NM_014313	TMEM50A
NM_015627	LDLRAP1
NR_024498	LOC646471
NM_178422	PAQR7
NM_206926	SEPN1
NM_020451	SEPN1
NM_203401	STMN1
NM_004455	EXTL1
NM_152835	PDIK1L
NM_001243532	PDIK1L
NM_001243533	PDIK1L
NM_032588	TRIM63
NM_006314	CNKSR1
NM_001281517	CEP85
NM_198137	CATSPER4
NM_024869	FAM110D
NM_022778	CEP85
NM_001077262	UBXN11
NM_001039775	AIM1L
NM_001114759	ZNF683
NM_001243565	DHDDS
NM_005517	HMGN2
NM_001006665	RPS6KA1
NM_139135	ARID1A
NM_006015	ARID1A
NM_006142	SFN
NM_018066	GPN2
NM_001013642	TRNP1
NR_033926	ACTG1P20
NM_207397	CD164L2
NM_032872	SYTL1
NM_004672	MAP3K6
NM_014280	DNAJC8
NM_178191	ATPIF1
NM_017638	MED18
NM_001127350	MED18
NM_023923	PHACTR4
NM_152304	RAB42
NM_001048195	RCC1
NR_003109	TRNAU1AP
NM_001193532	RAB42
NM_001173128	YTHDF2
NM_000911	OPRD1
NM_001171868	TMEM200B
NM_006762	LAPTM5
NM_014654	SDC3
NM_024522	NKAIN1
NR_034112	LINC01225
NM_001199038	SERINC2
NM_001199037	SERINC2
NM_001525	HCRTR1
NR_027085	LINC01226
NM_001204415	TINAGL1
NM_001160042	IQCC
NM_175852	TXLNA
NM_018134	IQCC
NR_026850	MTMR9LP
NM_003757	EIF3I
NM_001143888	BSDC1
NM_001135255	RBBP4
NM_001135256	RBBP4
NM_001198972	KIAA1522
NM_020888	KIAA1522
NM_033504	TMEM54
NM_018207	TRIM62
NM_001080438	A3GALT2
NR_033264	HMGB4
NM_001134734	C1orf94
NM_024009	GJB3
NM_001164824	SMIM12
NR_037869	LOC653160
NM_001014839	NCDN
NM_001199779	PSMB2
NM_001190481	CLSPN
NM_014466	TEKT2
NM_018067	MAP7D1
NM_001286365	MAP7D1
NM_018166	EVA1B
NM_025079	ZC3H12A
NM_022756	MEAF6
NM_017850	C1orf109
NM_001113482	MANEAL
NM_173641	EPHA10
NM_001256875	CDCA8
NM_198446	C1orf122
NM_006802	SF3A3
NM_002699	POU3F1
NM_024595	AKIRIN1
NM_001136275	AKIRIN1
NM_014571	HEYL
NM_003819	PABPC4
NM_001135653	PABPC4
NM_001135654	PABPC4
NR_003929	PPIEL
NM_022120	OXCT2
NM_016257	HPCAL4
NM_001033081	MYCL
NM_001105530	CAP1
NM_022733	SMAP2
NM_152373	ZNF684
NM_014747	RIMS3
NM_001142590	NFYC
NM_133467	CITED4
NM_001905	CTPS1
NM_004559	YBX1
NM_001123395	CLDN19
NR_104171	LOC339539
NM_001017922	ERMAP
NR_033967	SLC2A1-AS1
NM_001159936	EBNA1BP2
NM_006824	EBNA1BP2
NM_182517	C1orf210
NM_005373	MPL
NM_201542	MED8
NM_001256402	ELOVL1
NM_001243526	HYI
NM_001190880	HYI
NM_001136215	ARTN
NM_004073	PLK3
NM_001013632	TCTEX1D4
NM_015506	MMACHC
NR_033298	CCDC163P
NM_001195193	NASP
NM_003579	RAD54L
NM_001013615	LURAP1
NM_001256127	NSUN4
NM_001097611	KNCN
NM_172225	DMBX1
NM_145279	MOB3C
NM_201403	MOB3C
NM_022745	ATPAF1
NM_000778	CYP4A11
NM_001287347	TAL1
NM_003189	TAL1
NM_001010969	CYP4A22
NM_012186	FOXE3
NM_004474	FOXD2
NR_026878	FOXD2-AS1
NM_032110	DMRTA2
NM_078626	CDKN2C
NM_001159969	EPS15
NM_148907	OSBPL9
NM_148904	OSBPL9
NM_001243767	BTF3L4
NM_015696	GPX7
NM_001042693	FAM159A
NM_153703	PODN
NM_001199082	PODN
NM_001199080	PODN
NR_109858	SLC1A7
NM_017887	C1orf123
NM_000098	CPT2
NM_033067	DMRTB1
NR_036639	YIPF1
NM_016491	MRPL37
NR_103541	SSBP3-AS1
NM_176782	FAM151A
NM_152607	C1orf177
NM_001110533	C1orf177
NM_001114108	TTC22
NM_152268	PARS2
NM_002353	TACSTD2
NM_019079	L1TD1
NM_001164835	L1TD1
NM_012183	FOXD3
NM_017526	LEPROT
NM_001198681	LEPROT
NM_001276352	C1orf141
NM_001276351	C1orf141
NR_075077	C1orf141
NR_047583	IL12RB2
NM_001031693	HHLA3
NR_027962	TYW3
NM_000016	ACADM
NM_201626	USP33
NM_015017	USP33
NR_103535	NEXN-AS1
NM_001166295	SSX2IP
NM_001253693	MCOLN3
NM_032184	SYDE2
NM_003921	BCL10
NM_001170670	ZNHIT6
NM_020729	ODF2L
NM_001007022	ODF2L
NM_001206651	SH3GLB1
NM_006769	LMO4
NM_004120	GBP2
NM_052942	GBP5
NM_198460	GBP6
NM_001134419	CDC7
NM_001127216	GFI1
NM_001127215	GFI1
NM_005263	GFI1
NM_000969	RPL5
NR_030761	TMED5
NM_001938	DR1
NR_034089	LOC100131564
NM_004815	ARHGAP29
NM_001178096	F3
NM_001286055	CNN3
NM_152487	TMEM56
NM_001010861	LPPR5
NM_001271685	SLC35A3
NM_012243	SLC35A3
NM_022049	GPR88
NM_133496	SLC30A7
NM_213651	SLC25A24
NM_013386	SLC25A24
NM_001048210	CLCC1
NM_001408	CELSR2
NR_034072	SARS
NM_001284353	KIAA1324
NM_001005290	PSRC1
NM_020703	AMIGO1
NM_001040709	SYPL2
NM_005272	GNAT2
NR_024537	GSTM3
NM_000757	CSF1
NM_006492	ALX3
NM_001242673	AHCYL1
NM_001010898	SLC6A17
NM_001201549	SLC16A4
NM_001007794	CEPT1
NR_003928	CHIAP2
NM_181643	PIFO
NM_000677	ADORA3
NM_020683	TMIGD3
NM_002557	OVGP1
NM_001688	ATP5F1
NR_034126	LINC01160
NM_006135	CAPZA1
NM_005167	PPM1J
NR_103777	LOC100996251
NR_049741	SIKE1
NM_001172412	VANGL1
NM_138959	VANGL1
NM_152367	MAB21L3
NM_020440	PTGFRN
NM_001145635	TRIM45
NM_025188	TRIM45
NM_017686	GDAP2
NM_001080470	ZNF697
NR_033781	HSD3BP4
NM_001047980	NBPF7
NR_046228	ANKRD20A12P
NR_027468	LINC01138
NR_037182	LOC653513
NR_003242	PFN1P2
NM_001002811	PDE4DIP
NM_005105	RBM8A
NR_046188	NBPF11
NM_001101663	NBPF11
NR_103466	NBPF13P
NR_002305	PDIA3P1
NM_005399	PRKAB2
NR_103870	PRKAB2
NM_181703	GJA5
NM_005266	GJA5
NR_104086	RNVU1-19
NM_173638	NBPF15
NM_001170755	NBPF15
NR_027354	LOC645166
NR_104086	RNVU1-19
NM_001034077	HIST2H4B
NM_000566	FCGR1A
NM_001024599	HIST2H2BF
NM_001034077	HIST2H4B
NM_005850	SF3B4
NM_016074	BOLA1
NM_003528	HIST2H2BE
NM_014849	SV2A
NM_031901	MRPS21
NM_018997	MRPS21
NM_207045	ENSA
NM_138278	BNIPL
NM_030913	SEMA6C
NM_001178062	SEMA6C
NM_001204856	SCNM1
NR_037937	SCNM1
NM_001198774	PI4KB
NM_007185	CELF3
NM_001004432	LINGO4
NM_053055	THEM4
NM_001136003	C2CD4D
NM_002966	S100A10
NM_007113	TCHH
NM_001122965	RPTN
NM_002016	FLG
NM_001009931	HRNR
NM_001014342	FLG2
NM_178349	LCE1B
NM_001025231	KPRP
NM_178351	LCE1C
NM_001024209	SPRR2E
NM_020393	PGLYRP4
NM_006271	S100A1
NM_014624	S100A6
NM_020672	S100A14
NM_001030	RPS27
NM_001098475	TDRD10
NM_017582	UBE2Q1
NM_182499	TDRD10
NM_001010846	SHE
NM_003815	ADAM15
NM_144622	DCST2
NR_040772	LOC100505666
NM_152494	DCST1
NM_001261466	ADAM15
NM_002455	MTX1
NM_001204285	MUC1
NM_198883	MTX1
NM_001171811	GBA
NM_001105204	RUSC1
NR_027023	ASH1L-AS1
NM_001199850	DAP3
NM_018253	YY1AP1
NM_001093725	MEX3A
NM_020131	UBQLN4
NM_001193300	SEMA4A
NM_001256395	RHBG
NM_198427	BCAN
NM_015590	GPATCH4
NM_021948	BCAN
NM_144772	APOA1BP
NM_182679	GPATCH4
NM_015997	RRNAD1
NM_001126051	HDGF
NM_030980	ISG20L2
NM_006617	NES
NM_004494	HDGF
NM_001142560	RRNAD1
NM_002529	NTRK1
NM_052939	FCRL3
NM_001286349	KIRREL
NM_001005185	OR6N1
NM_004833	AIM2
NM_002036	ACKR1
NM_001127173	CADM3
NR_037870	CADM3-AS1
NM_001134233	C1orf204
NM_145167	PIGM
NM_000702	ATP1A2
NM_004983	KCNJ9
NM_005598	NHLH1
NM_020335	VANGL2
NM_001184879	CD84
NM_001184882	CD84
NM_001184881	CD84
NM_003874	CD84
NM_002348	LY9
NM_001261456	LY9
NM_016946	F11R
NM_001185092	NIT1
NM_001035511	SDHC
NM_001127595	FCGR3A
NM_001271035	FCGR3B
NM_201563	FCGR2C
NM_002155	HSPA6
NM_001271037	FCGR3B
NM_001002273	FCGR2B
NR_002595	RPL31P11
NM_015441	OLFML2B
NM_144624	UHMK1
NM_001254749	RGS5
NM_001195303	RGS5
NM_000696	ALDH9A1
NM_004528	MGST3
NM_199351	ILDR2
NM_005814	GPA33
NM_001267609	GPR161
NM_001267613	GPR161
NR_026844	ANKRD36BP1
NM_021179	CCDC181
NM_000130	F5
NM_003005	SELP
NM_181093	SCYL3
NM_020423	SCYL3
NM_001146039	GORAB
NM_000261	MYOC
NM_003326	TNFSF4
NM_014656	KIAA0040
NM_001162894	KIAA0040
NM_001162893	KIAA0040
NR_027982	RASAL2-AS1
NM_001170724	TEX35
NM_005158	ABL2
NM_014625	NPHS2
NM_173509	FAM163A
NM_020950	KIAA1614
NM_016545	IER5
NM_172000	TEDDM1
NM_001033056	GLUL
NM_002065	GLUL
NM_018891	LAMC2
NR_040063	SMG7-AS1
NM_015101	COLGALT2
NM_007212	RNF2
NM_001127709	PRG4
NM_001127710	PRG4
NM_004600	TROVE2
NM_018136	ASPM
NM_001024594	C1orf53
NM_001031725	DDX59
NM_001142569	C1orf106
NM_005298	GPR25
NM_018265	C1orf106
NM_001252102	KIF21B
NM_001252100	KIF21B
NM_017596	KIF21B
NM_001270601	ASCL5
NM_001288571	TMEM9
NM_000299	PKP1
NM_001005337	PKP1
NM_012396	PHLDA3
NR_026667	RPS10P7
NM_020216	RNPEP
NM_001136504	SYT2
NM_021633	KLHL12
NM_138391	TMEM183A
NR_036557	LOC100506747
NM_006763	BTG2
NR_034151	LINC01136
NR_103757	FMOD
NM_201348	PRELP
NM_002725	PRELP
NM_001282878	LAX1
NM_001136190	LAX1
NM_018208	ETNK2
NM_002256	KISS1
NR_027022	LINC00628
NM_001278517	MDM4
NM_002393	MDM4
NM_001278519	MDM4
NM_001193273	RBBP5
NM_005057	RBBP5
NM_005076	CNTN2
NM_001242925	TMCC2
NM_014858	TMCC2
NR_038425	LEMD1-AS1
NM_212503	CDK18
NR_103783	BLACAT1
NM_001973	ELK4
NR_027086	LOC284578
NM_033102	SLC45A3
NM_021795	ELK4
NM_181644	MFSD4
NM_001135662	RAB29
NM_022731	NUCKS1
NM_003929	RAB29
NM_173854	SLC41A1
NM_134325	SLC26A9
NM_152491	PM20D1
NR_046097	LOC284581
NM_001910	CTSE
NM_148964	CTSE
NM_000572	IL10
NM_032960	MAPKAPK2
NM_006850	IL24
NM_002644	PIGR
NM_001018053	PFKFB2
NR_026817	LOC148696
NM_001025109	CD34
NM_014388	DIEXF
NM_018254	RCOR3
NM_183059	RD3
NM_001204183	NEK2
NM_002497	NEK2
NM_001206488	ATF3
NM_001146169	TATDN3
NM_014053	FLVCR1
NM_144567	ANGEL2
NM_024749	VASH2
NM_001286149	BPNT1
NM_001286150	BPNT1
NR_001587	AURKAPS1
NM_021958	HLX
NM_022831	AIDA
NM_001748	CAPN2
NM_025160	WDR26
NM_001136018	EPHX1
NM_020997	LEFTY1
NM_014698	TMEM63A
NM_003240	LEFTY2
NM_001271681	PYCR2
NM_031944	MIXL1
NM_001618	PARP1
NR_103784	ITPKB-IT1
NM_000447	PSEN2
NM_012486	PSEN2
NM_001161465	JMJD4
NR_024486	LOC100130093
NM_020435	GJC2
NR_073154	C1orf145
NM_001010867	IBA57
NM_001134855	TRIM17
NM_001287262	BTNL10
NM_001010858	RNF187
NR_002834	DUSP5P1
NM_021205	RHOU
NR_039659	MIR4454
NM_145257	CCSAP
NM_001271998	RAB4A
NM_012089	ABCB10
NM_001136495	C1orf198
NM_001136494	C1orf198
NM_032800	C1orf198
NM_022051	EGLN1
NM_001010984	SPRTN
NR_002227	DISC2
NM_020808	SIPA1L2
NM_032435	KIAA1804
NM_002245	KCNK1
NM_005646	TARBP1
NR_038426	LINC01354
NM_182972	IRF2BP2
NM_001077397	IRF2BP2
NR_033927	LINC00184
NR_036605	GGPS1
NR_102436	LYST
NM_019891	ERO1LB
NM_001821	CHML
NM_014322	OPN3
NM_001004343	MAP1LC3C
NR_029401	LINC01347
NM_006352	ZBTB18
NR_026778	HNRNPU-AS1
NM_031844	HNRNPU
NM_198076	COX20
NM_016002	SCCPDH
NR_037892	ZNF695
NM_024804	ZNF669
NM_207401	C1orf229
NM_001142572	ZNF669
NM_001004698	OR2W5
NM_015431	TRIM58
NM_001001963	OR2L8
NM_017504	OR2M4
NM_001004695	OR2T33
NM_001004692	OR2T12
NM_001004691	OR2M7
NM_001005495	OR2T3
NM_001005471	OR2T6
NM_001004696	OR2T4
NM_001004697	OR2T5
NM_001001821	OR2T34
NM_001100424	SPATS2L
NM_001282743	SPATS2L
NM_206943	LTBP1
NM_138735	NRXN1
NM_002285	AFF3
NM_001025108	AFF3
NM_003628	PKP4
NM_020864	NYAP2
NM_014600	EHD3
NM_001287527	CLIP4
NM_016441	CRIM1
NM_001288951	TTC7A
NM_001288953	TTC7A
NM_001288955	TTC7A
NM_018084	CCDC88A
NR_033872	PCBP1-AS1
NM_133478	SLC4A5
NM_001282600	CTNNA2
NM_004389	CTNNA2
NM_001370	DNAH6
NM_032827	ATOH8
NM_015348	TMEM131
NM_001102426	TBC1D8
NM_004257	TGFBRAP1
NM_001288706	IL1R1
NM_001178036	DPP10
NR_024373	MIR4435-1HG
NM_001099289	SH3RF3
NM_005270	GLI2
NM_001077637	WTH3DI
NM_177964	LYPD6B
NM_052917	GALNT13
NM_014900	COBLL1
NM_001278461	COBLL1
NM_001278460	COBLL1
NM_012290	TLK1
NM_172070	UBR3
NM_013341	OLA1
