#name	name2
NM_013943	CLIC4
NM_001289862	PER3
NM_001289863	PER3
NM_001042681	RERE
NM_012102	RERE
NM_004285	H6PD
NM_001282587	H6PD
NM_024980	GPR157
NM_001009566	CLSTN1
NM_014944	CLSTN1
NM_001105562	UBE4B
NM_020248	CTNNBIP1
NM_183416	KIF1B
NM_015074	KIF1B
NM_004958	MTOR
NM_001079843	CASZ1
NM_001170754	C1orf127
NM_004565	PEX14
NM_017766	CASZ1
NM_001001998	EXOSC10
NM_001040195	AGTRAP
NM_018156	VPS13D
NM_020350	AGTRAP
NM_015378	VPS13D
NM_014874	MFN2
NM_001243	TNFRSF8
NM_001281430	TNFRSF8
NM_052929	FHAD1
NR_027136	TMEM51-AS1
NM_015209	KAZN
NM_001018001	KAZN
NM_001018000	KAZN
NM_201628	KAZN
NM_001017999	KAZN
NM_018994	FBXO42
NM_015001	SPEN
NR_109898	DNAJC16
NM_017940	NBPF1
NM_007365	PADI2
NR_026567	ESPNP
NM_013358	PADI1
NM_018125	ARHGEF10L
NM_030812	ACTL8
NM_032880	IGSF21
NM_001011722	ARHGEF10L
NM_001136265	IFFO2
NM_013945	PAX7
NM_020765	UBR4
NM_001135254	PAX7
NM_001282162	CAPZB
NM_004930	CAPZB
NR_033887	LINC01141
NM_181719	TMCO4
NM_001198801	EIF4G3
NM_001177520	ALPL
NM_001127501	ALPL
NM_000478	ALPL
NM_016287	HP1BP3
NM_001113348	ECE1
NM_001791	CDC42
NM_014870	ZBTB40
NM_001083621	ZBTB40
NM_005529	HSPG2
NM_001039802	CDC42
NM_001013693	LDLRAD2
NM_033631	LUZP1
NM_004091	E2F2
NM_020448	NIPAL3
NM_170743	IFNLR1
NM_001010980	NCMAP
NM_020485	RHCE
NM_020379	MAN1C1
NM_001289010	MAN1C1
NM_018202	TMEM57
NM_001282564	TMEM57
NM_002953	RPS6KA1
NM_031286	SH3BGRL3
NM_024674	LIN28A
NM_001201404	WASF2
NR_037576	TMEM222
NM_001029882	AHDC1
NM_032125	TMEM222
NM_006990	WASF2
NM_001048183	PHACTR4
NR_002909	SNHG3
NM_005704	PTPRU
NM_005626	SRSF4
NM_133178	PTPRU
NM_002379	MATN1
NR_034182	MATN1-AS1
NM_001195101	PTP4A2
NM_080391	PTP4A2
NM_001256121	S100PBP
NM_022753	S100PBP
NM_030786	SYNC
NM_001161708	SYNC
NM_012316	KPNA6
NM_001040441	ZBTB8A
NM_004964	HDAC1
NM_001127361	RNF19B
NM_153341	RNF19B
NM_198040	PHC2
NM_145238	ZSCAN20
NR_038372	CSMD2-AS1
NM_001080418	DLGAP3
NM_005095	ZMYM4
NM_005202	COL8A2
NM_024874	KIAA0319L
NM_017629	AGO4
NM_032017	STK40
NM_001282546	STK40
NM_024640	YRDC
NM_024700	SNIP1
NM_005540	INPP5B
NM_022157	RRAGC
NM_001271851	RRAGC
NM_001720	BMP8B
NM_181809	BMP8A
NM_001172222	SCMH1
NM_012236	SCMH1
NM_172163	KCNQ4
NM_004700	KCNQ4
NM_001172219	SCMH1
NM_001172221	SCMH1
NR_024567	NFYC-AS1
NM_001198851	FOXJ3
NM_024503	HIVEP3
NM_001127714	HIVEP3
NM_014947	FOXJ3
NM_173642	RIMKLA
NR_038261	HIVEP3
NR_038260	HIVEP3
NM_005424	TIE1
NM_001195831	CFAP57
NM_152498	CFAP57
NM_001167965	CFAP57
NM_001253357	TIE1
NM_015284	SZT2
NM_014652	IPO13
NM_174971	ST3GAL3
NR_033827	KDM4A-AS1
NM_174967	ST3GAL3
NM_174963	ST3GAL3
NM_024066	ERI3
NM_001166588	EIF2B3
NM_007170	TESK2
NM_020883	ZSWIM5
NM_006845	KIF2C
NM_015112	MAST2
NM_003684	MKNK1
NM_016308	CMPK1
NR_046394	CMPK1
NM_178134	CYP4Z1
NM_001286238	SPATA6
NM_001286239	SPATA6
NR_026749	SKINTL
NM_001144775	ELAVL4
NM_021952	ELAVL4
NM_001080494	TTC39A
NM_002525	NRD1
NM_148908	OSBPL9
NM_148906	OSBPL9
NM_001242361	NRD1
NM_024646	ZYG11B
NM_015269	ZCCHC11
NM_007324	ZFYVE9
NM_004799	ZFYVE9
NM_032449	CC2D1B
NM_001009881	ZCCHC11
NM_001004339	ZYG11A
NM_004631	LRP8
NM_018087	NDC1
NM_017522	LRP8
NM_001018054	LRP8
NM_147193	GLIS1
NM_001031672	CYB5RL
NM_147161	ACOT11
NM_015547	ACOT11
NR_037640	MROH7-TTC4
NM_018070	SSBP3
NM_001009955	SSBP3
NM_145716	SSBP3
NR_037641	MROH7-TTC4
NM_006252	PRKAA2
NM_003713	PPAP2B
NM_015888	HOOK1
NM_181712	KANK4
NM_176877	INADL
NR_038252	LINC00466
NM_005012	ROR1
NM_001172819	PGM1
NM_002633	PGM1
NM_001083592	ROR1
NM_001256864	DNAJC6
NM_018211	RAVER2
NM_013410	AK4
NM_014787	DNAJC6
NM_203464	AK4
NM_002227	JAK1
NM_001256865	DNAJC6
NM_001005353	AK4
NM_002600	PDE4B
NM_015139	SLC35D1
NM_015640	SERBP1
NM_152665	TCTEX1D1
NM_001018068	SERBP1
NM_144701	IL23R
NM_001018069	SERBP1
NM_024911	WLS
NM_001114120	DEPDC1
NM_017779	DEPDC1
NR_040077	GNG12-AS1
NM_018841	GNG12
NM_030816	ANKRD13C
NR_028294	PTGER3
NR_028292	PTGER3
NM_001199327	FPGT-TNNI3K
NM_001105659	LRRIQ3
NM_001002912	ERICH3
NM_002440	MSH4
NM_152697	SLC44A5
NM_030965	ST6GALNAC5
NM_012093	AK5
NM_144573	NEXN
NM_017655	GIPC2
NM_198549	FAM73A
NM_001270384	FAM73A
NM_022159	ELTD1
NR_049805	MIR548AP
NM_002731	PRKACB
NM_001010971	SAMD13
NM_012137	DDAH1
NM_145172	WDR63
NM_012152	LPAR3
NM_153259	MCOLN2
NR_024113	C1orf52
NM_006536	CLCA2
NM_001134492	HS2ST1
NM_012262	HS2ST1
NM_001134476	LRRC8B
NM_015350	LRRC8B
NM_006256	PKN2
NM_052941	GBP4
NM_002053	GBP1
NM_018103	LRRC8D
NM_005665	EVI5
NM_017737	FNBP1L
NM_206886	CCDC18
NM_001261409	BCAR3
NM_001258342	SLC44A3
NM_001258343	SLC44A3
NM_002858	ABCD3
NM_000350	ABCA4
NR_104131	LINC01057
NR_033966	FLJ31662
NM_021190	PTBP2
NR_046590	DPYD-AS1
NR_033940	LOC100129620
NR_046088	LOC729987
NM_033055	HIAT1
NM_001166252	LPPR4
NM_014839	LPPR4
NM_033312	CDC14A
NM_033313	CDC14A
NM_003672	CDC14A
NM_001190709	COL11A1
NM_017619	RNPC3
NM_014969	WDR47
NM_001142550	WDR47
NM_013296	GPSM2
NM_020775	KIAA1324
NM_001267048	KIAA1324
NM_001284352	KIAA1324
NM_022768	RBM15
NM_004978	KCNC4
NR_036437	KCNC4
NM_001039574	KCNC4
NM_178454	DRAM2
NM_017744	ST7L
NM_004980	KCND3
NM_018704	CTTNBP2NL
NM_138727	ST7L
NM_152900	MAGI3
NM_001142782	MAGI3
NR_103746	LINC01356
NM_015906	TRIM33
NM_033020	TRIM33
NM_198459	DENND2C
NM_205848	SYT6
NR_037864	AP4B1-AS1
NM_001010922	BCL2L15
NM_001270805	SYT6
NM_005725	TSPAN2
NM_002506	NGF
NM_001232	CASQ2
NM_001767	CD2
NM_001542	IGSF3
NM_018420	SLC22A15
NM_001007237	IGSF3
NM_000701	ATP1A1
NM_004258	CD101
NM_001256106	CD101
NM_006699	MAN1A2
NM_024626	VTCN1
NM_001256109	CD101
NR_045604	VTCN1
NM_206996	SPAG17
NM_015836	WARS2
NM_001005783	HAO2
NM_001100910	FAM72B
NR_104189	SRGAP2-AS1
NR_024511	LINC00623
NR_024584	LINC00623
NR_024510	LINC00623
NM_203458	NOTCH2NL
NM_001198834	PDE4DIP
NM_014455	RNF115
NM_001198832	PDE4DIP
NM_014644	PDE4DIP
NM_004892	SEC22B
NM_153713	LIX1L
NM_001002812	PDE4DIP
NM_001002810	PDE4DIP
NM_001278141	NBPF12
NM_001144829	FMO5
NM_001461	FMO5
NR_046188	NBPF11
NR_038423	LINC00624
NM_004326	BCL9
NM_183372	NBPF11
NM_001135789	PPIAL4C
NM_001143883	PPIAL4B
NM_207044	ENSA
NM_004436	ENSA
NM_007259	VPS45
NM_015203	RPRD2
NM_004079	CTSS
NM_001199739	CTSS
NM_207043	ENSA
NM_001271896	TARS2
NR_073514	TARS2
NM_020832	ZNF687
NM_030918	SNX27
NM_001126337	TUFT1
NM_145796	POGZ
NM_001001523	RORC
NR_103778	FLG-AS1
NM_020699	GATAD2B
NM_020524	PBXIP1
NM_002249	KCNN3
NM_001204087	KCNN3
NM_000565	IL6R
NM_001206866	IL6R
NM_004952	EFNA3
NM_181359	IL6R
NM_170782	KCNN3
NM_001282624	LMNA
NM_001282625	LMNA
NR_046292	MSTO1
NR_046294	MSTO1
NR_024117	MSTO2P
NM_170708	LMNA
NM_170707	LMNA
NM_001282626	LMNA
NM_018489	ASH1L
NM_152280	SYT11
NM_178229	IQGAP3
NM_144702	LRRC71
NM_005973	PRCC
NM_031282	FCRL4
NM_005894	CD5L
NM_005531	IFI16
NM_001206567	IFI16
NM_003126	SPTA1
NM_004371	COPA
NM_002241	KCNJ10
NM_001135050	IGSF9
NM_001098398	COPA
NM_001284217	FCRL6
NM_001004310	FCRL6
NM_001166663	CD244
NM_014697	NOS1AP
NM_001164757	NOS1AP
NM_007348	ATF6
NM_001254748	RGS5
NM_001256570	RXRG
NM_001174069	LMX1A
NR_026744	LOC400794
NM_177398	LMX1A
NM_012474	UCK2
NM_001017961	FAM78B
NM_001286377	MAEL
NM_001198783	POU2F1
NM_001198786	POU2F1
NM_052862	RCSD1
NR_037163	POU2F1
NM_018442	DCAF6
NR_026550	MPC2
NM_152902	TIPRL
NM_001937	DPT
NM_001198957	DCAF6
NM_001017977	DCAF6
NM_013330	NME7
NM_001677	ATP1B1
NR_104091	LINC00970
NM_022716	PRRX1
NM_014970	KIFAP3
NM_001204517	KIFAP3
NM_001204514	KIFAP3
NM_001136107	METTL11B
NM_002022	FMO4
NR_033704	VAMP4
NM_001460	FMO2
NM_178527	SLC9C2
NR_037845	LOC100506023
NM_172071	RC3H1
NM_001243765	RABGAP1L
NM_014412	CACYBP
NM_001007214	CACYBP
NM_003285	TNR
NM_020318	PAPPA2
NM_004319	ASTN1
NM_207108	ASTN1
NM_001286164	ASTN1
NR_037167	LOC730102
NM_014864	FAM20B
NM_152663	RALGPS2
NM_001168238	ABL2
NM_001168237	ABL2
NM_001168236	ABL2
NM_001136001	ABL2
NM_001286247	RALGPS2
NM_173533	TDRD5
NM_001199085	TDRD5
NM_033343	LHX4
NM_001199260	TOR1AIP2
NM_001199089	TDRD5
NM_145034	TOR1AIP2
NM_022347	TOR1AIP2
NM_014810	CEP350
NR_073544	AXDND1
NM_001531	MR1
NM_001194999	MR1
NM_001195000	MR1
NM_004736	XPR1
NM_001195035	MR1
NM_001135669	XPR1
NM_000721	CACNA1E
NM_001205294	CACNA1E
NM_002293	LAMC1
NM_170706	NMNAT2
NR_033302	DHX9
NM_015149	RGL1
NM_052965	TSEN15
NR_023349	TSEN15
NM_025191	EDEM3
NM_052966	FAM129A
NM_017673	SWT1
NM_017847	C1orf27
NM_031935	HMCN1
NM_130782	RGS18
NM_024529	CDC73
NM_001201550	CFHR4
NM_001195215	DENND1B
NM_205860	NR5A2
NM_000069	CACNA1S
NM_001164586	IGFN1
NM_203459	CAMSAP2
NM_014875	KIF14
NR_046696	IPO9-AS1
NM_001167738	NAV1
NM_020443	NAV1
NM_021636	LGR6
NM_018085	IPO9
NM_001256129	ARL8A
NM_001017404	LGR6
NM_001017403	LGR6
NM_001114309	ELF3
NM_015053	PPFIA4
NM_032104	PPP1R12B
NM_032103	PPP1R12B
NM_177402	SYT2
NM_006618	KDM5B
NM_014935	PLEKHA6
NM_005686	SOX13
NM_014827	ZC3H11A
NM_001001396	ATP2B4
NM_001684	ATP2B4
NM_015375	DSTYK
NM_006338	LRRN2
NM_201630	LRRN2
NM_015090	NFASC
NM_199462	DSTYK
NM_001005388	NFASC
NM_005449	FAIM3
NM_175710	CR1L
NM_000573	CR1
NM_025179	PLXNA2
NM_000651	CR1
NM_001146264	SYT14
NM_001146261	SYT14
NM_001146262	SYT14
NM_001206696	IRF6
NM_153262	SYT14
NM_002238	KCNH1
NM_172362	KCNH1
NR_037667	INTS7
NM_014873	LPGAT1
NM_006243	PPP2R5A
NM_015434	INTS7
NM_001136138	RPS6KC1
NM_001287220	RPS6KC1
NM_016343	CENPF
NM_005401	PTPN14
NM_016121	KCTD3
NM_014217	KCNK2
NM_001017425	KCNK2
NM_007123	USH2A
NM_016052	RRP15
NM_012414	RAB3GAP2
NM_022746	MARC1
NM_001286129	MARK1
NM_001286124	MARK1
NM_007207	DUSP10
NM_032890	DISP1
NM_198551	MIA3
NM_001031685	TP53BP2
NM_152495	CNIH3
NM_018212	ENAH
NM_003133	SRP9
NM_001008493	ENAH
NM_014826	CDC42BPA
NM_003607	CDC42BPA
NM_020247	ADCK3
NM_002221	ITPKB
NM_001003665	C1orf95
NM_052843	OBSCN
NM_001098623	OBSCN
NM_033131	WNT3A
NM_053052	SNAP47
NR_033184	ZNF678
NM_001271223	OBSCN
NR_037962	RHOU
NM_004481	GALNT2
NM_001122835	TTC13
NM_175876	EXOC8
NM_024525	TTC13
NM_001004342	TRIM67
NM_001164537	DISC1
NM_001164542	DISC1
NM_001164540	DISC1
NM_014801	PCNXL2
NM_173508	SLC35F3
NM_004485	GNG4
NM_001098722	GNG4
NM_152490	B3GALNT2
NM_001098721	GNG4
NM_014765	TOMM20
NM_003272	GPR137B
NM_080738	EDARADD
NM_002508	NID1
NM_018072	HEATR1
NM_201545	LGALS8
NM_145861	EDARADD
NM_201544	LGALS8
NM_201543	LGALS8
NM_001035	RYR2
NM_000740	CHRM3
NM_020066	FMN2
NM_003679	KMO
NM_144625	WDR64
NM_152666	PLD5
NM_014812	CEP170
NM_006642	SDCCAG8
NM_005465	AKT3
NM_001042404	CEP170
NM_001042405	CEP170
NR_026587	EFCAB2
NM_032328	EFCAB2
NM_001143943	EFCAB2
NM_001126	ADSS
NM_001243740	ZNF124
NM_152609	CNST
NR_037894	ZNF670-ZNF695
NM_001139459	CNST
NM_003431	ZNF124
NM_015446	AHCTF1
NM_001281834	GCSAML
NM_001243133	NLRP3
NM_001127462	NLRP3
NM_175911	OR2L13
NM_001281853	GCSAML
NM_001281837	GCSAML
NM_004895	NLRP3
NM_001079821	NLRP3
NM_001281835	GCSAML
NM_001005484	OR4F5
NR_046018	DDX11L1
NR_024540	WASH7P
NR_106918	MIR6859-1
NR_039983	LOC729737
NR_028327	LOC100133331
NR_028325	LOC100132062
NR_028322	LOC100132287
NM_001005277	OR4F16
NR_106781	MIR6723
NM_001005277	OR4F16
NR_028327	LOC100133331
NR_033908	LOC100288069
NR_103536	FAM87B
NR_047526	LINC01128
NR_024321	LINC00115
NM_198317	KLHL17
NM_015658	NOC2L
NR_027055	FAM41C
NM_001160184	PLEKHN1
NM_032129	PLEKHN1
NM_152486	SAMD11
NM_005101	ISG15
NM_001205252	RNF223
NM_198576	AGRN
NM_003327	TNFRSF4
NM_153254	TTLL10
NM_080605	B3GALT6
NM_016547	SDF4
NM_004195	TNFRSF18
NM_016176	SDF4
NM_001130045	TTLL10
NR_038869	LINC01342
NM_148902	TNFRSF18
NM_148901	TNFRSF18
NM_004421	DVL1
NM_152228	TAS1R3
NM_017871	CPSF3L
NM_001127230	AURKAIP1
NM_058167	UBE2J2
NM_001130413	SCNN1D
NM_030649	ACAP3
NM_001282584	MXRA8
NM_001282585	MXRA8
NM_001282583	MXRA8
NR_037668	SCNN1D
NM_001256460	CPSF3L
NM_001256456	CPSF3L
NM_001029885	CPTP
NM_001145210	ANKRD65
NM_022834	VWA1
NM_001039211	ATAD3C
NM_001146685	TMEM88B
NM_017971	MRPL20
NM_030937	CCNL2
NM_031921	ATAD3B
NM_199121	VWA1
NM_001243536	ANKRD65
NM_001243535	ANKRD65
NM_001039577	CCNL2
NR_015434	LOC148413
NM_001170687	MIB2
NM_001170689	MIB2
NM_001170536	ATAD3A
NM_001114748	TMEM240
NM_080875	MIB2
NM_001170535	ATAD3A
NR_033183	MIB2
NM_001170686	MIB2
NM_001170688	MIB2
NM_018188	ATAD3A
NM_014188	SSU72
NM_001242659	C1orf233
NM_182838	SLC35E2
NM_033529	CDK11A
NM_001199787	SLC35E2
NM_024011	CDK11A
NM_001198995	NADK
NM_001110781	SLC35E2B
NM_178545	TMEM52
NM_138705	CALML6
NM_000815	GABRD
NM_001080484	CFAP74
NM_001256947	C1orf86
NM_001146310	C1orf86
NM_001282671	C1orf86
NM_001282672	C1orf86
NM_001282670	C1orf86
NR_024489	LOC100129534
NM_007033	RER1
NM_153818	PEX10
NM_024848	MORN1
NM_014638	PLCH2
NM_018216	PANK4
NR_037844	LOC115110
NM_001010926	HES5
NM_001195741	FAM213B
NR_036638	FAM213B
NM_033467	MMEL1
NM_080431	ACTRT2
NR_024371	LINC00982
NR_015440	LINC00982
NM_014448	ARHGEF16
NM_001126242	TP73
NM_001204189	TP73
NM_001204192	TP73
NM_001204191	TP73
NM_017818	WRAP73
NM_001204185	TP73
NM_001126241	TP73
NM_005427	TP73
NM_001204188	TP73
NR_033710	TP73-AS1
NM_182752	TPRG1L
NR_033709	TP73-AS1
NM_020710	LRRC47
NM_014704	CEP104
NM_001288583	SMIM1
NM_207356	C1orf174
NR_024455	LINC01134
NR_040065	LINC01346
NR_027088	LOC284661
NM_015557	CHD5
NM_207396	RNF207
NM_207370	GPR153
NM_001024598	HES3
NM_001265594	PLEKHG5
NM_031475	ESPN
NM_148966	TNFRSF25
NM_148965	TNFRSF25
NM_019089	HES2
NM_001042665	PLEKHG5
NM_001265593	PLEKHG5
NM_001042664	PLEKHG5
NM_024654	NOL9
NM_014851	KLHL21
NM_005341	ZBTB48
NM_138350	THAP3
NM_004781	VAMP3
NM_021995	UTS2
NM_018948	ERRFI1
NM_001042682	RERE
NM_001201483	ENO1
NM_001270500	CA6
NM_001270501	CA6
NM_001428	ENO1
NM_207420	SLC2A7
NM_025106	SPSB1
NR_104623	LOC100506022
NR_104622	LOC100506022
NM_001010866	TMEM201
NM_001130924	TMEM201
NM_032315	SLC25A33
NR_027045	PIK3CD-AS1
NM_005026	PIK3CD
NM_022787	NMNAT1
NM_002631	PGD
NM_199294	APITD1
NM_004401	DFFA
NM_001302	CORT
NM_001270517	APITD1-CORT
NM_213566	DFFA
NM_001243768	APITD1-CORT
NM_199006	APITD1-CORT
NM_007375	TARDBP
NM_003132	SRM
NM_006610	MASP2
NM_021146	ANGPTL7
NM_013319	UBIAD1
NM_020780	PTCHD2
NM_018438	FBXO6
NM_183413	FBXO44
NM_012168	FBXO2
NM_001014765	FBXO44
NM_198545	DRAXIN
NM_183412	FBXO44
NR_104624	LOC101929181
NM_001256959	CLCN6
NR_037806	NPPA-AS1
NM_001286	CLCN6
NR_046428	CLCN6
NM_005957	MTHFR
NM_138346	KIAA2013
NM_021933	MIIP
NM_001066	TNFRSF1B
NM_004753	DHRS3
NR_106788	MIR6730
NM_001080830	PRAMEF12
NM_152290	C1orf158
NM_001103170	AADACL3
NM_023014	PRAMEF2
NM_001013631	HNRNPCL1
NM_001146344	PRAMEF11
NM_001009611	PRAMEF4
NM_023013	PRAMEF1
NM_001012277	PRAMEF7
NM_001010889	PRAMEF6
NM_001012276	PRAMEF8
NM_001010890	PRAMEF9
NM_001013407	PRAMEF5
NM_001010889	PRAMEF6
NM_001013407	PRAMEF5
NM_001012277	PRAMEF7
NM_001099790	PRAMEF19
NM_001045480	PRAMEF16
NM_001039361	PRAMEF10
NM_001024661	PRAMEF14
NM_001012276	PRAMEF8
NM_001012277	PRAMEF7
NM_001012276	PRAMEF8
NM_001099790	PRAMEF19
NM_001024661	PRAMEF14
NM_001010847	LRRC38
NM_001006625	PDPN
NM_006474	PDPN
NM_001006624	PDPN
NM_012231	PRDM2
NM_001136218	TMEM51
NM_018022	TMEM51
NM_001278502	C1orf195
NR_102733	CASP9
NM_001229	CASP9
NM_033440	CELA2A
NM_024329	EFHD2
NM_032996	CASP9
NR_102732	CASP9
NM_001278054	CASP9
NM_032341	DDI2
NM_024758	AGMAT
NM_207348	SLC25A34
NM_015164	PLEKHM2
NM_001024216	FBLIM1
NM_001024215	FBLIM1
NM_017556	FBLIM1
NM_001013641	TMEM82
NR_024279	FLJ37453
NM_003443	ZBTB17
NM_001165945	CLCNKB
NM_000085	CLCNKB
NM_178840	C1orf64
NM_014424	HSPB7
NM_001257139	CLCNKA
NM_001242884	ZBTB17
NM_004431	EPHA2
NM_182623	FAM131C
NM_030907	RSG1
NM_153213	ARHGEF19
NR_073501	SZRD1
NM_198546	SPATA21
NR_073502	SZRD1
NR_023386	CROCCP3
NR_027504	MST1P2
NR_026752	CROCCP2
NM_001282321	FAM231A
NM_001282321	FAM231A
NM_001271733	MST1L
NM_014675	CROCC
NM_022089	ATP13A2
NM_001141973	ATP13A2
NM_001141974	ATP13A2
NM_012387	PADI4
NM_016233	PADI3
NM_001136204	RCC2
NM_018715	RCC2
NM_207421	PADI6
NM_152375	KLHDC7A
NM_152232	TAS1R2
NM_003748	ALDH4A1
NM_003689	AKR7A2
NM_016183	MRTO4
NM_001040125	PQLC2
NM_012067	AKR7A3
NR_109848	PQLC2
NR_040289	AKR7L
NR_037847	LOC100506730
NM_015047	EMC1
NM_017765	PQLC2
NM_001271427	EMC1
NM_001271429	EMC1
NR_033757	MINOS1
NM_001204082	MINOS1
NM_001204086	NBL1
NM_001204084	NBL1
NM_001204083	MINOS1
NM_000871	HTR6
NR_033758	MINOS1
NR_077246	RPS14P3
NM_019062	RNF186
NM_000300	PLA2G2A
NM_015207	OTUD3
NM_012400	PLA2G2D
NM_001271814	PLA2G2D
NM_022819	PLA2G2F
NM_152376	UBXN10
NM_001039500	VWA5B1
NM_024544	MUL1
NM_018584	CAMK2N1
NM_001785	CDA
NM_207334	FAM43B
NM_001122819	KIF17
NM_001103161	SH2D5
NM_001287212	KIF17
NM_001103160	SH2D5
NM_001113347	ECE1
NM_001113349	ECE1
NM_032264	NBPF3
NM_001256417	NBPF3
NM_001256416	NBPF3
NR_046176	NBPF3
NM_001032730	USP48
NR_109762	LINC00339
NR_109760	LINC00339
NM_005747	CELA3A
NR_109761	LINC00339
NM_030761	WNT4
NM_020526	EPHA8
NM_001006943	EPHA8
NM_172369	C1QC
NM_015991	C1QA
NM_015013	KDM1A
NM_030634	ZNF436
NM_001077195	ZNF436
NM_001102397	HNRNPR
NM_001143778	ASAP3
NM_017707	ASAP3
NR_027042	MDS2
NM_002167	ID3
NM_003198	TCEB3
NM_007260	LYPLA2
NM_000147	FUCA1
NM_001841	CNR2
NM_017761	PNRC2
NM_001191005	SRSF10
NM_001191006	SRSF10
NM_001191009	SRSF10
NM_054016	SRSF10
NR_034035	SRSF10
NM_152372	MYOM3
NR_027087	LOC284632
NM_001199014	STPG1
NM_021180	GRHL3
NM_001199013	STPG1
NM_001251984	RCAN3
NM_001251981	RCAN3
NM_005839	SRRM1
NM_001031680	RUNX3
NM_004350	RUNX3
NM_020317	RSRP1
NM_014313	TMEM50A
NM_001282868	RHD
NM_015627	LDLRAP1
NR_024498	LOC646471
NM_178422	PAQR7
NM_206926	SEPN1
NM_020451	SEPN1
NM_024037	AUNIP
NM_000437	PAFAH2
NM_203401	STMN1
NM_032513	SLC30A2
NM_004455	EXTL1
NM_152835	PDIK1L
NM_015871	ZNF593
NM_001281518	CEP85
NM_001281517	CEP85
NM_198137	CATSPER4
NM_024869	FAM110D
NM_001039775	AIM1L
NM_183008	UBXN11
NM_173574	ZNF683
NM_001114759	ZNF683
NM_024887	DHDDS
NM_005517	HMGN2
NM_001006665	RPS6KA1
NM_017837	PIGV
NM_139135	ARID1A
